District,Season,CropCategory,Crop,Year,Extent,Production,Yield_t_ha,Yield_IQR_Flag,AnchorMonth,AnchorDate,ForecastDate,WeatherWindowStart,WeatherWindowEnd,Rainfall_3M_mm,TempMean_3M_C,WindSpeed_3M_kmh,SolarRadiation_3M_MJ_m2,ET0_3M_mm,WeatherDays_3M,Leakage_Check,Weather_Completeness_OK,PrevMonthWholesalePrice_RsKg,NextMonthWholesalePrice_RsKg
National Total,Yala,Low Country Vegetable,Bitter Gourd,2023,1478.1,15349.1,10.38434476693052,False,4,2023-04-01,2023-04-01,2023-01-01,2023-03-31,322.77777777777777,24.415390946502058,15.564444444444444,20.30167489711934,375.3025925925926,90,True,True,267.5,359.6
National Total,Maha,Low Country Vegetable,Bitter Gourd,2023,1947.8,19932.1,10.233134818769894,False,9,2023-09-01,2023-09-01,2023-06-01,2023-08-31,310.97777777777776,27.081119162640903,20.28341384863124,20.70217391304348,445.98481481481485,92,True,True,186.25,332.0
National Total,Yala,Low Country Vegetable,Snake Gourd,2012,1431.0,16032.0,11.20335429769392,False,4,2012-04-01,2012-04-01,2012-01-01,2012-03-31,192.81481481481484,24.95641025641025,12.757427757427756,20.49129019129019,391.8188888888889,91,True,True,24.83333333333333,56.7375
National Total,Maha,Low Country Vegetable,Snake Gourd,2012,1952.0,22298.0,11.42315573770492,False,9,2012-09-01,2012-09-01,2012-06-01,2012-08-31,271.4518518518518,26.73909017713365,21.219847020933976,19.93822463768116,436.74740740740737,92,True,True,37.75,59.888
National Total,Yala,Low Country Vegetable,Snake Gourd,2013,1673.0,16453.0,9.834429169157202,False,4,2013-04-01,2013-04-01,2013-01-01,2013-03-31,479.52592592592606,24.79600823045267,13.010246913580248,18.615028806584363,349.47962962962964,90,True,True,41.25,49.9025
National Total,Maha,Low Country Vegetable,Snake Gourd,2013,1960.0,23612.0,12.046938775510204,False,9,2013-09-01,2013-09-01,2013-06-01,2013-08-31,378.27777777777777,26.0592190016103,20.98921095008052,19.044879227053144,398.4211111111111,92,True,True,45.75,33.84
National Total,Yala,Low Country Vegetable,Snake Gourd,2014,1282.0,13459.0,10.498439937597505,False,4,2014-04-01,2014-04-01,2014-01-01,2014-03-31,184.15185185185183,25.0727572016461,14.82559670781893,20.222942386831274,394.5177777777778,90,True,True,32.568,86.045
National Total,Maha,Low Country Vegetable,Snake Gourd,2014,1877.0,21006.0,11.191262653169952,False,9,2014-09-01,2014-09-01,2014-06-01,2014-08-31,278.4000000000001,26.76694847020934,21.32246376811594,19.86382045088567,429.4092592592592,92,True,True,32.75,75.25
National Total,Yala,Low Country Vegetable,Snake Gourd,2015,1188.0,14564.0,12.25925925925926,False,4,2015-04-01,2015-04-01,2015-01-01,2015-03-31,210.2703703703704,24.861152263374485,12.927777777777775,20.35349794238683,382.60925925925926,90,True,True,36.058,66.36500000000001
National Total,Maha,Low Country Vegetable,Snake Gourd,2015,1530.0,29491.0,19.27516339869281,True,9,2015-09-01,2015-09-01,2015-06-01,2015-08-31,302.1962962962963,26.68128019323672,20.14830917874396,20.037846215780995,419.2903703703704,92,True,True,43.99,65.705
National Total,Yala,Low Country Vegetable,Snake Gourd,2016,1201.0,14900.0,12.406328059950042,False,4,2016-04-01,2016-04-01,2016-01-01,2016-03-31,103.57407407407408,26.05075295075295,13.816646316646317,20.77905982905984,412.6448148148148,91,True,True,60.6275,106.002
National Total,Maha,Low Country Vegetable,Snake Gourd,2016,1419.0,17017.0,11.992248062015504,False,9,2016-09-01,2016-09-01,2016-06-01,2016-08-31,265.61481481481485,26.633494363929145,20.95998389694042,19.82029388083736,416.3766666666666,92,True,True,35.096,80.51599999999999
National Total,Yala,Low Country Vegetable,Snake Gourd,2017,1053.0,13361.0,12.688509021842355,False,4,2017-04-01,2017-04-01,2017-01-01,2017-03-31,313.99999999999994,24.675596707818933,15.267901234567905,20.136897119341565,381.8151851851852,90,True,True,94.5833333333333,117.11946386946347
National Total,Maha,Low Country Vegetable,Snake Gourd,2017,1281.0,15488.0,12.09055425448868,False,9,2017-09-01,2017-09-01,2017-06-01,2017-08-31,394.8037037037038,26.89971819645732,20.743679549114336,18.80973027375201,408.6885185185185,92,True,True,87.08333333416665,96.95804196466666
National Total,Yala,Low Country Vegetable,Snake Gourd,2018,1074.0,13681.0,12.738361266294229,False,4,2018-04-01,2018-04-01,2018-01-01,2018-03-31,228.24444444444447,24.822592592592592,15.51699588477366,19.673259259259257,376.64962962962966,90,True,True,53.86217949,121.428571425
National Total,Yala,Low Country Vegetable,Snake Gourd,2019,1104.0,12939.0,11.720108695652174,False,4,2019-04-01,2019-04-01,2019-01-01,2019-03-31,233.3592592592593,25.21213991769548,15.569341563786008,20.74994650205761,397.587037037037,90,True,True,101.25,107.0
National Total,Yala,Low Country Vegetable,Snake Gourd,2020,1210.8,14906.0,12.310868847043276,False,4,2020-04-01,2020-04-01,2020-01-01,2020-03-31,105.40370370370368,25.679527879527875,16.7981277981278,21.646776556776555,429.8481481481482,91,True,True,71.66666667,105.5
National Total,Yala,Low Country Vegetable,Snake Gourd,2021,1512.6,14226.8,9.405526907311913,False,4,2021-04-01,2021-04-01,2021-01-01,2021-03-31,465.2629629629629,24.74477366255144,14.810617283950616,18.874930041152265,351.975925925926,90,True,True,77.01818182,97.0
National Total,Maha,Low Country Vegetable,Snake Gourd,2021,1582.6,20582.4,13.005434095791736,False,9,2021-09-01,2021-09-01,2021-06-01,2021-08-31,439.22592592592594,26.359460547504025,20.130676328502418,19.065225442834134,397.3851851851852,92,True,True,131.541666675,134.25
National Total,Yala,Low Country Vegetable,Snake Gourd,2022,1115.0,13524.9,12.129955156950672,False,4,2022-04-01,2022-04-01,2022-01-01,2022-03-31,218.6888888888889,24.939917695473245,15.03860082304527,20.776477366255143,389.06666666666666,90,True,True,129.25,261.8
National Total,Maha,Low Country Vegetable,Snake Gourd,2022,1484.9,17670.9,11.900397333153748,False,9,2022-09-01,2022-09-01,2022-06-01,2022-08-31,441.5444444444444,26.04786634460548,19.90024154589372,19.10479871175524,393.2974074074073,92,True,True,266.44444444,252.8
