District,Year,Season,TotalDaylightDuration_s,TotalSunshineDuration_s,TotalPrecipitationSum_mm,TotalRainSum_mm,TotalPrecipitationHours_h,TotalShortwaveRadiationSum_MJm2,TotalEt0FaoEvapotranspiration_mm,MeanTemperature2mMax_C,MeanTemperature2mMin_C,MeanTemperature2mMean_C,MeanApparentTemperatureMax_C,MeanApparentTemperatureMin_C,MeanApparentTemperatureMean_C,MeanWindSpeed10mMax_kmh,MeanWindGusts10mMax_kmh,MeanWindDirection10mDominant,MostCommonWeatherCode,WeatherDays
Badulla,2017,Yala,6836991.13,5696251.35,387.4,387.4,517.0,3160.25,682.93,30.655555555555555,20.886928104575162,25.320261437908496,34.44052287581699,23.214379084967323,28.215686274509803,9.643137254901962,29.81503267973856,193.13725490196077,51.0,153
Badulla,2018,Maha,9093109.94,6970222.0,1683.0,1683.0,2148.0,3813.65,734.79,26.08867924528302,18.72877358490566,22.13443396226415,30.2688679245283,20.806132075471698,25.189622641509434,9.989622641509435,28.60188679245283,252.14150943396226,51.0,212
Badulla,2018,Yala,6836935.82,5348712.07,598.1,598.1,762.0,3016.0,621.88,28.502614379084964,19.96797385620915,23.9359477124183,33.09803921568628,22.24248366013072,27.165359477124184,9.001960784313725,29.583660130718954,208.1437908496732,51.0,153
Badulla,2019,Maha,9137033.85,7089966.89,1787.0,1787.0,2196.0,3889.35,746.13,26.159154929577465,18.94976525821596,22.28075117370892,30.678873239436623,21.3037558685446,25.557276995305163,10.02300469483568,29.047887323943662,232.3849765258216,51.0,213
Badulla,2019,Yala,6836888.51,5496275.05,416.7,416.7,630.0,3117.63,671.66,30.32418300653595,20.356209150326798,25.08823529411765,34.28692810457516,22.652941176470588,28.1640522875817,9.554248366013072,29.522875816993466,186.05228758169935,51.0,153
Badulla,2020,Maha,9092969.88,6824734.41,1838.6,1838.6,2085.0,3694.05,723.37,26.462735849056607,19.076415094339623,22.439622641509434,30.52169811320755,21.3561320754717,25.525471698113204,10.03632075471698,30.118867924528303,250.1320754716981,51.0,212
Badulla,2020,Yala,6837075.92,5412645.79,553.0,553.0,813.0,3075.19,640.39,29.337908496732027,20.186274509803923,24.49934640522876,33.97777777777778,22.643137254901962,27.961437908496734,8.829411764705883,28.94248366013072,178.0,51.0,153
Badulla,2021,Maha,9093014.3,6871223.42,1328.4,1328.4,1895.0,3910.26,753.74,26.256603773584903,18.60188679245283,22.159433962264153,30.64575471698113,20.68679245283019,25.266037735849054,9.679716981132074,27.46179245283019,255.52358490566039,53.0,212
Badulla,2021,Yala,6837021.19,5323972.45,877.6,877.6,877.0,3042.73,618.4,28.235294117647058,19.601307189542485,23.770588235294117,33.156209150326795,21.854901960784314,27.220261437908494,8.15751633986928,26.701307189542486,187.87581699346404,51.0,153
Badulla,2022,Maha,9093064.25,6527309.44,1418.4,1418.4,2029.0,3814.35,727.36,25.730188679245284,18.281603773584905,21.725471698113207,29.80235849056604,20.24764150943396,24.664622641509432,10.38443396226415,28.08443396226415,235.8820754716981,51.0,212
Badulla,2022,Yala,6836964.88,5086191.37,814.9,814.9,857.0,2952.18,605.89,28.322875816993463,20.03529411764706,23.8843137254902,33.15882352941176,22.470588235294116,27.320261437908496,9.262091503267973,26.81045751633987,191.54901960784315,63.0,153
Badulla,2023,Maha,9136994.79,6438038.45,1914.1,1914.1,2254.0,3740.86,728.12,26.598591549295776,19.581220657276997,22.781220657276993,31.459154929577466,22.172300469483567,26.39342723004695,9.319718309859155,25.982159624413146,227.94366197183098,63.0,213
Badulla,2023,Yala,6836908.55,5551957.95,598.2,598.2,756.0,3235.69,672.4399999999999,29.649019607843137,20.04248366013072,24.561437908496732,34.656209150326795,22.401960784313726,28.056862745098037,8.831372549019608,25.26732026143791,147.33333333333334,51.0,153
Bandarawela,2012,Maha,9096086.82,6799065.49,2180.3,2180.3,1839.0,3572.02,685.23,24.14858490566038,17.788679245283017,20.449528301886794,27.493867924528303,19.66792452830189,22.76933962264151,7.996226415094339,31.501415094339624,124.08018867924528,63.0,212
Bandarawela,2012,Yala,6833738.2,5819513.81,748.3,748.3,1246.0,3098.13,625.33,26.11503267973856,19.197385620915032,22.002614379084967,28.6359477124183,20.76013071895425,23.72156862745098,13.33921568627451,45.59803921568628,252.8235294117647,51.0,153
Bandarawela,2013,Maha,9096144.65,7440716.05,1025.6,1025.6,1502.0,3860.08,747.13,24.586320754716983,17.36745283018868,20.520283018867925,27.24811320754717,18.90754716981132,22.38490566037736,9.390566037735848,34.158018867924525,136.43867924528303,51.0,212
Bandarawela,2013,Yala,6833671.27,5624669.01,1052.8,1052.8,1610.0,2963.16,581.68,25.42091503267974,19.273856209150328,21.748366013071895,28.340522875816998,20.901307189542486,23.633986928104576,12.98235294117647,45.76601307189542,248.40522875816993,51.0,153
Bandarawela,2014,Maha,9096204.27,6966739.41,2154.4,2154.4,1832.0,3685.9,708.77,24.227358490566036,17.65801886792453,20.43867924528302,27.420754716981133,19.45,22.631132075471697,8.182075471698113,31.520283018867925,123.25,63.0,212
Bandarawela,2014,Yala,6833607.33,5722476.0200000005,843.9,843.9,1358.0,3034.66,630.58,26.438562091503268,19.5281045751634,22.33986928104575,28.977124183006534,21.15424836601307,24.05359477124183,13.11111111111111,46.030718954248364,235.5686274509804,51.0,153
Bandarawela,2015,Maha,9140132.67,7232048.03,1761.9,1761.9,1705.0,3777.42,733.71,25.03661971830986,18.166197183098593,21.093896713615024,28.32206572769953,20.186384976525822,23.46901408450704,7.930985915492958,31.491549295774647,114.7981220657277,63.0,213
Bandarawela,2015,Yala,6833550.29,5676315.55,1012.3,1012.3,1397.0,3041.61,599.66,25.793464052287582,19.246405228758167,21.881045751633987,29.126143790849675,21.168627450980395,24.10653594771242,11.851633986928105,42.27843137254902,240.6013071895425,63.0,153
Bandarawela,2016,Maha,9096092.56,7504065.22,969.9,969.9,1394.0,4105.29,787.72,24.272641509433964,16.81132075471698,20.069339622641508,26.766509433962263,17.67877358490566,21.508018867924527,11.175943396226415,33.886792452830186,221.1556603773585,51.0,212
Bandarawela,2016,Yala,6833734.04,5643899.61,1077.2,1077.2,1513.0,2997.77,602.05,26.124183006535947,19.684313725490195,22.284967320261437,29.026143790849673,21.54705882352941,24.32156862745098,12.934640522875817,46.60915032679738,227.0,51.0,153
Bandarawela,2017,Maha,9096139.71,6806158.66,1279.3,1279.3,1433.0,3791.52,697.53,23.005188679245286,15.834433962264152,19.118867924528303,25.91792452830189,16.280188679245285,20.569811320754717,10.460849056603772,27.869811320754714,257.3679245283019,51.0,212
Bandarawela,2017,Yala,6833671.04,5574769.44,433.2,433.2,617.0,3126.06,628.97,26.355555555555558,17.690849673202614,21.652287581699348,29.211111111111112,18.569934640522874,23.26013071895425,9.530718954248366,27.336601307189543,242.59477124183007,51.0,153
Bandarawela,2018,Maha,9096207.39,7115311.46,1471.3,1471.3,1653.0,4056.08,742.07,23.24056603773585,15.557075471698113,19.133962264150945,26.218396226415095,15.833490566037735,20.556603773584907,10.646698113207547,27.29245283018868,254.41037735849056,51.0,212
Bandarawela,2018,Yala,6833616.75,5244476.77,543.1,543.1,861.0,3009.89,576.81,24.68954248366013,16.959477124183007,20.48888888888889,27.864705882352943,17.82091503267974,22.30392156862745,9.809150326797385,27.961437908496734,234.13071895424838,51.0,153
Bandarawela,2019,Maha,9140124.74,7201616.73,1324.5,1324.5,1760.0,4148.84,762.09,23.517840375586854,15.936150234741785,19.3943661971831,26.419718309859153,16.422065727699533,20.859154929577464,11.38075117370892,29.354460093896712,222.981220657277,63.0,213
Bandarawela,2019,Yala,6833570.53,5369202.97,463.09999999999997,463.09999999999997,797.0,3077.51,608.18,25.93202614379085,16.98562091503268,21.173856209150326,29.01699346405229,17.915686274509802,22.99411764705882,9.356209150326798,27.83267973856209,229.86928104575162,51.0,153
Bandarawela,2020,Maha,9096070.32,6906384.67,1324.7,1324.7,1702.0,3880.64,716.12,23.319811320754717,15.916509433962265,19.331132075471697,26.18867924528302,16.464622641509433,20.83207547169811,10.49056603773585,28.010377358490565,250.41509433962264,51.0,212
Bandarawela,2020,Yala,6833754.13,5300938.49,587.1,587.1,783.0,3053.69,599.15,25.57450980392157,17.176470588235293,21.132679738562093,28.82091503267974,18.07254901960784,23.016993464052288,9.216339869281045,27.654248366013075,215.15686274509804,51.0,153
Bandarawela,2021,Maha,9096113.76,6936818.36,1132.3,1132.3,1547.0,4060.24,744.69,23.331132075471697,15.55188679245283,19.193867924528302,26.30188679245283,15.941509433962263,20.660377358490567,10.553773584905661,27.150000000000002,271.52358490566036,51.0,212
Bandarawela,2021,Yala,6833700.44,5238733.61,786.1,786.1,971.0,3037.41,581.15,24.541830065359477,16.773856209150328,20.479738562091505,28.088888888888892,17.573202614379085,22.373856209150325,9.155555555555555,26.51437908496732,234.52287581699346,51.0,153
Bandarawela,2022,Maha,9096162.63,6592459.78,1177.8,1177.8,1597.0,3993.08,724.19,22.82122641509434,15.20754716981132,18.760849056603774,25.841037735849056,15.482075471698112,20.1061320754717,10.995754716981132,26.702830188679247,269.7169811320755,51.0,212
Bandarawela,2022,Yala,6833645.36,4903456.99,806.0,806.0,992.0,2907.31,556.09,24.35751633986928,16.959477124183007,20.398039215686275,27.950326797385618,17.959477124183007,22.375816993464053,9.662091503267973,25.16078431372549,254.26797385620915,51.0,153
Bandarawela,2023,Maha,9140086.41,6453491.22,2005.3999999999999,2005.3999999999999,2034.0,3884.24,711.98,23.403286384976525,16.195305164319247,19.44788732394366,26.519718309859154,16.970892018779345,21.16619718309859,10.730516431924881,27.040375586854463,221.88732394366198,63.0,213
