MonthDate,Crop,WholesalePrice_RsKg,PrevMonthWholesalePrice_RsKg,NextMonthWholesalePrice_RsKg
2017-12-01,Beans,223.95250585,120.87121213,233.9365641
2018-01-01,Beans,233.9365641,223.95250585,144.48280885
2018-02-01,Beans,144.48280885,233.9365641,72.9166666675
2018-03-01,Beans,72.9166666675,144.48280885,124.83333332800001
2018-04-01,Beans,124.83333332800001,72.9166666675,209.1666667
2018-05-01,Beans,209.1666667,124.83333332800001,147.68939395
2018-06-01,Beans,147.68939395,209.1666667,100.83333333499999
2018-07-01,Beans,100.83333333499999,147.68939395,
2018-08-01,Beans,,100.83333333499999,
2018-09-01,Beans,,,
2018-10-01,Beans,,,
2018-11-01,Beans,,,79.0
2018-12-01,Beans,79.0,,96.375
2019-01-01,Beans,96.375,79.0,141.25
2019-02-01,Beans,141.25,96.375,176.75
2019-03-01,Beans,176.75,141.25,134.05454546
2019-04-01,Beans,134.05454546,176.75,95.5
2019-05-01,Beans,95.5,134.05454546,224.75
2019-06-01,Beans,224.75,95.5,315.0
2019-07-01,Beans,315.0,224.75,
2019-08-01,Beans,,315.0,
2019-09-01,Beans,,,
2019-10-01,Beans,,,
2019-11-01,Beans,,,288.0
2019-12-01,Beans,288.0,,261.45454545
2020-01-01,Beans,261.45454545,288.0,169.375
2020-02-01,Beans,169.375,261.45454545,81.0
2020-03-01,Beans,81.0,169.375,
2020-04-01,Beans,,81.0,134.0
2020-05-01,Beans,134.0,,117.8
2020-06-01,Beans,117.8,134.0,148.25
2020-07-01,Beans,148.25,117.8,201.6
2020-08-01,Beans,201.6,148.25,219.708333325
2020-09-01,Beans,219.708333325,201.6,
2020-10-01,Beans,,219.708333325,
2020-11-01,Beans,,,
2020-12-01,Beans,,,191.0
2021-01-01,Beans,191.0,,125.25
2021-02-01,Beans,125.25,191.0,163.87272728
2021-03-01,Beans,163.87272728,125.25,121.5
2021-04-01,Beans,121.5,163.87272728,154.22222223333333
2021-05-01,Beans,154.22222223333333,121.5,209.0
2021-06-01,Beans,209.0,154.22222223333333,191.5
2021-07-01,Beans,191.5,209.0,207.583333325
2021-08-01,Beans,207.583333325,191.5,125.5
2021-09-01,Beans,125.5,207.583333325,221.5
2021-10-01,Beans,221.5,125.5,290.0
2021-11-01,Beans,290.0,221.5,372.0
2021-12-01,Beans,372.0,290.0,311.04444444
2022-01-01,Beans,311.04444444,372.0,179.0
2022-02-01,Beans,179.0,311.04444444,191.25
2022-03-01,Beans,191.25,179.0,258.5
2022-04-01,Beans,258.5,191.25,479.4
2022-05-01,Beans,479.4,258.5,515.25
2022-06-01,Beans,515.25,479.4,323.0
2022-07-01,Beans,323.0,515.25,368.8
2022-08-01,Beans,368.8,323.0,338.5
2022-09-01,Beans,338.5,368.8,303.4
2022-10-01,Beans,303.4,338.5,349.25
2022-11-01,Beans,349.25,303.4,374.0
2022-12-01,Beans,374.0,349.25,443.0
2023-01-01,Beans,443.0,374.0,328.0
2023-02-01,Beans,328.0,443.0,201.777777775
2023-03-01,Beans,201.777777775,328.0,149.1590909
2023-04-01,Beans,149.1590909,201.777777775,356.03333334
2023-05-01,Beans,356.03333334,149.1590909,404.25
2023-06-01,Beans,404.25,356.03333334,344.4
2023-07-01,Beans,344.4,404.25,299.75
2023-08-01,Beans,299.75,344.4,299.9090909
2023-09-01,Beans,299.9090909,299.75,415.6
2023-10-01,Beans,415.6,299.9090909,420.75
2023-11-01,Beans,420.75,415.6,476.636363625
2023-12-01,Beans,476.636363625,420.75,579.6
2024-01-01,Beans,579.6,476.636363625,513.0
2024-02-01,Beans,513.0,579.6,250.636363625
2024-03-01,Beans,250.636363625,513.0,140.8
2024-04-01,Beans,140.8,250.636363625,389.0
2024-05-01,Beans,389.0,140.8,506.5
2024-06-01,Beans,506.5,389.0,545.16363636
2024-07-01,Beans,545.16363636,506.5,323.75
2024-08-01,Beans,323.75,545.16363636,218.4
2024-09-01,Beans,218.4,323.75,308.5
2024-10-01,Beans,308.5,218.4,356.5
2024-11-01,Beans,356.5,308.5,460.47272727999996
2024-12-01,Beans,460.47272727999996,356.5,376.333333325
2025-01-01,Beans,376.333333325,460.47272727999996,261.9090909
2025-02-01,Beans,261.9090909,376.333333325,375.0
2025-03-01,Beans,375.0,261.9090909,
2012-01-01,Beetroot,78.816,,46.04
2012-02-01,Beetroot,46.04,78.816,37.766666666666666
2012-03-01,Beetroot,37.766666666666666,46.04,49.1
2012-04-01,Beetroot,49.1,37.766666666666666,95.3125
2012-05-01,Beetroot,95.3125,49.1,93.8075
2012-06-01,Beetroot,93.8075,95.3125,83.988
2012-07-01,Beetroot,83.988,93.8075,63.9275
2012-08-01,Beetroot,63.9275,83.988,60.285
2012-09-01,Beetroot,60.285,63.9275,58.888
2012-10-01,Beetroot,58.888,60.285,81.6675
2012-11-01,Beetroot,81.6675,58.888,81.45
2012-12-01,Beetroot,81.45,81.6675,107.345
2013-01-01,Beetroot,107.345,81.45,66.8275
2013-02-01,Beetroot,66.8275,107.345,72.2575
2013-03-01,Beetroot,72.2575,66.8275,67.5025
2013-04-01,Beetroot,67.5025,72.2575,84.0525
2013-05-01,Beetroot,84.0525,67.5025,76.22
2013-06-01,Beetroot,76.22,84.0525,54.45
2013-07-01,Beetroot,54.45,76.22,28.3275
2013-08-01,Beetroot,28.3275,54.45,26.208
2013-09-01,Beetroot,26.208,28.3275,26.759999999999998
2013-10-01,Beetroot,26.759999999999998,26.208,39.15
2013-11-01,Beetroot,39.15,26.759999999999998,45.506
2013-12-01,Beetroot,45.506,39.15,51.1575
